DATA INICIAL;DATA FINAL;REGIAO;ESTADOS;PRODUTO;NUMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PRECO MEDIO REVENDA;DESVIO PADRAO REVENDA;PRECO MINIMO REVENDA;PRECO MAXIMO REVENDA;COEF DE VARIACAO REVENDA
45354;45360;NORTE;ACRE;ETANOL HIDRATADO;10;R$/l;4.77;0.373;4.49;5.79;0.078
45354;45360;NORDESTE;ALAGOAS;ETANOL HIDRATADO;55;R$/l;3.90;0.468;3.75;5.12;0.120
45354;45360;NORTE;AMAPA;ETANOL HIDRATADO;1;R$/l;4.94;0.000;4.94;4.94;0.000
45354;45360;NORTE;AMAZONAS;ETANOL HIDRATADO;39;R$/l;4.30;0.174;4.19;4.86;0.040
45354;45360;NORDESTE;BAHIA;ETANOL HIDRATADO;249;R$/l;4.07;0.276;3.57;4.99;0.068
45354;45360;NORDESTE;CEARA;ETANOL HIDRATADO;150;R$/l;4.43;0.322;3.94;5.95;0.073
45354;45360;CENTRO OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;47;R$/l;3.59;0.125;3.29;3.99;0.035
45354;45360;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;64;R$/l;4.05;0.276;3.59;5.29;0.068
45354;45360;CENTRO OESTE;GOIAS;ETANOL HIDRATADO;199;R$/l;3.82;0.308;2.99;4.27;0.080
45354;45360;NORDESTE;MARANHAO;ETANOL HIDRATADO;64;R$/l;4.14;0.347;3.75;4.99;0.084
45354;45360;CENTRO OESTE;MATO GROSSO;ETANOL HIDRATADO;63;R$/l;3.18;0.242;2.75;3.69;0.076
45354;45360;CENTRO OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;50;R$/l;3.46;0.375;3.19;4.58;0.108
45354;45360;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;526;R$/l;3.57;0.246;2.99;4.39;0.069
45354;45360;NORTE;PARA;ETANOL HIDRATADO;62;R$/l;4.18;0.555;3.45;5.90;0.133
45354;45360;NORDESTE;PARAIBA;ETANOL HIDRATADO;55;R$/l;3.95;0.151;3.79;4.58;0.038
45354;45360;SUL;PARANA;ETANOL HIDRATADO;292;R$/l;3.86;0.322;3.19;4.41;0.083
45354;45360;NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;161;R$/l;4.02;0.303;3.39;5.29;0.075
45354;45360;NORDESTE;PIAUI;ETANOL HIDRATADO;44;R$/l;3.99;0.199;3.75;4.61;0.050
45354;45360;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;326;R$/l;3.96;0.341;3.59;4.99;0.086
45354;45360;NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;39;R$/l;4.23;0.312;3.89;4.99;0.074
45354;45360;SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;139;R$/l;4.34;0.518;3.79;5.99;0.119
45354;45360;NORTE;RONDONIA;ETANOL HIDRATADO;21;R$/l;4.82;0.245;4.41;5.39;0.051
45354;45360;NORTE;RORAIMA;ETANOL HIDRATADO;3;R$/l;4.83;0.040;4.79;4.87;0.008
45354;45360;SUL;SANTA CATARINA;ETANOL HIDRATADO;109;R$/l;4.25;0.326;3.79;5.16;0.077
45354;45360;SUDESTE;SAO PAULO;ETANOL HIDRATADO;1241;R$/l;3.42;0.301;2.73;5.69;0.088
45354;45360;NORDESTE;SERGIPE;ETANOL HIDRATADO;31;R$/l;4.26;0.111;3.90;4.39;0.026
45354;45360;NORTE;TOCANTINS;ETANOL HIDRATADO;40;R$/l;4.08;0.225;3.70;4.70;0.055
45354;45360;NORTE;ACRE;GASOLINA ADITIVADA;15;R$/l;6.87;0.376;6.69;7.72;0.055
45354;45360;NORDESTE;ALAGOAS;GASOLINA ADITIVADA;43;R$/l;5.83;0.358;5.59;7.07;0.061
45354;45360;NORTE;AMAPA;GASOLINA ADITIVADA;4;R$/l;5.91;0.156;5.79;6.09;0.026
45354;45360;NORTE;AMAZONAS;GASOLINA ADITIVADA;42;R$/l;6.06;0.496;5.78;7.38;0.082
45354;45360;NORDESTE;BAHIA;GASOLINA ADITIVADA;190;R$/l;6.12;0.285;5.29;6.79;0.047
45354;45360;NORDESTE;CEARA;GASOLINA ADITIVADA;144;R$/l;6.13;0.171;5.59;6.49;0.028
45354;45360;CENTRO OESTE;DISTRITO FEDERAL;GASOLINA ADITIVADA;44;R$/l;5.84;0.136;5.55;6.19;0.023
45354;45360;SUDESTE;ESPIRITO SANTO;GASOLINA ADITIVADA;86;R$/l;5.87;0.345;5.37;6.92;0.059
45354;45360;CENTRO OESTE;GOIAS;GASOLINA ADITIVADA;108;R$/l;6.02;0.283;5.39;6.79;0.047
45354;45360;NORDESTE;MARANHAO;GASOLINA ADITIVADA;82;R$/l;5.48;0.308;5.16;6.62;0.056
45354;45360;CENTRO OESTE;MATO GROSSO;GASOLINA ADITIVADA;41;R$/l;6.13;0.296;5.53;6.71;0.048
45354;45360;CENTRO OESTE;MATO GROSSO DO SUL;GASOLINA ADITIVADA;51;R$/l;5.81;0.429;5.39;6.94;0.074
45354;45360;SUDESTE;MINAS GERAIS;GASOLINA ADITIVADA;348;R$/l;5.82;0.281;5.08;6.78;0.048
45354;45360;NORTE;PARA;GASOLINA ADITIVADA;82;R$/l;6.06;0.379;5.39;7.04;0.062
45354;45360;NORDESTE;PARAIBA;GASOLINA ADITIVADA;43;R$/l;5.74;0.109;5.44;5.94;0.019
45354;45360;SUL;PARANA;GASOLINA ADITIVADA;223;R$/l;6.14;0.336;5.27;6.79;0.055
45354;45360;NORDESTE;PERNAMBUCO;GASOLINA ADITIVADA;120;R$/l;5.82;0.316;5.35;6.68;0.054
45354;45360;NORDESTE;PIAUI;GASOLINA ADITIVADA;46;R$/l;5.75;0.215;5.39;6.45;0.037
45354;45360;SUDESTE;RIO DE JANEIRO;GASOLINA ADITIVADA;320;R$/l;5.88;0.333;5.29;6.78;0.057
45354;45360;NORDESTE;RIO GRANDE DO NORTE;GASOLINA ADITIVADA;37;R$/l;6.16;0.215;5.83;6.75;0.035
45354;45360;SUL;RIO GRANDE DO SUL;GASOLINA ADITIVADA;353;R$/l;5.84;0.320;5.27;7.19;0.055
45354;45360;NORTE;RONDONIA;GASOLINA ADITIVADA;41;R$/l;6.41;0.170;5.99;6.80;0.026
45354;45360;NORTE;RORAIMA;GASOLINA ADITIVADA;16;R$/l;6.24;0.028;6.22;6.31;0.004
45354;45360;SUL;SANTA CATARINA;GASOLINA ADITIVADA;188;R$/l;6.00;0.193;5.35;6.49;0.032
45354;45360;SUDESTE;SAO PAULO;GASOLINA ADITIVADA;1011;R$/l;5.90;0.465;4.79;7.99;0.079
45354;45360;NORDESTE;SERGIPE;GASOLINA ADITIVADA;32;R$/l;6.18;0.180;5.90;6.39;0.029
45354;45360;NORTE;TOCANTINS;GASOLINA ADITIVADA;32;R$/l;6.00;0.189;5.60;6.59;0.031
45354;45360;NORTE;ACRE;GASOLINA COMUM;20;R$/l;6.88;0.405;6.69;7.63;0.059
45354;45360;NORDESTE;ALAGOAS;GASOLINA COMUM;53;R$/l;5.65;0.407;5.44;6.69;0.072
45354;45360;NORTE;AMAPA;GASOLINA COMUM;23;R$/l;5.60;0.181;5.47;6.29;0.032
45354;45360;NORTE;AMAZONAS;GASOLINA COMUM;69;R$/l;6.08;0.633;5.78;7.70;0.104
45354;45360;NORDESTE;BAHIA;GASOLINA COMUM;255;R$/l;5.88;0.286;5.19;6.91;0.049
45354;45360;NORDESTE;CEARA;GASOLINA COMUM;167;R$/l;6.00;0.167;5.15;6.39;0.028
45354;45360;CENTRO OESTE;DISTRITO FEDERAL;GASOLINA COMUM;49;R$/l;5.75;0.134;5.55;5.95;0.023
45354;45360;SUDESTE;ESPIRITO SANTO;GASOLINA COMUM;99;R$/l;5.70;0.362;5.19;6.63;0.064
45354;45360;CENTRO OESTE;GOIAS;GASOLINA COMUM;197;R$/l;5.85;0.248;4.99;6.27;0.042
45354;45360;NORDESTE;MARANHAO;GASOLINA COMUM;120;R$/l;5.40;0.302;5.03;6.45;0.056
45354;45360;CENTRO OESTE;MATO GROSSO;GASOLINA COMUM;71;R$/l;5.94;0.289;5.44;6.64;0.049
45354;45360;CENTRO OESTE;MATO GROSSO DO SUL;GASOLINA COMUM;62;R$/l;5.62;0.424;5.35;6.84;0.075
45354;45360;SUDESTE;MINAS GERAIS;GASOLINA COMUM;535;R$/l;5.59;0.254;5.08;6.36;0.045
45354;45360;NORTE;PARA;GASOLINA COMUM;138;R$/l;5.73;0.421;5.22;6.99;0.073
45354;45360;NORDESTE;PARAIBA;GASOLINA COMUM;61;R$/l;5.58;0.100;5.43;5.99;0.018
45354;45360;SUL;PARANA;GASOLINA COMUM;292;R$/l;6.01;0.290;5.19;6.79;0.048
45354;45360;NORDESTE;PERNAMBUCO;GASOLINA COMUM;179;R$/l;5.66;0.320;5.24;6.79;0.056
45354;45360;NORDESTE;PIAUI;GASOLINA COMUM;57;R$/l;5.54;0.138;5.14;5.99;0.025
45354;45360;SUDESTE;RIO DE JANEIRO;GASOLINA COMUM;346;R$/l;5.70;0.312;5.09;6.49;0.055
45354;45360;NORDESTE;RIO GRANDE DO NORTE;GASOLINA COMUM;38;R$/l;6.06;0.234;5.83;6.49;0.039
45354;45360;SUL;RIO GRANDE DO SUL;GASOLINA COMUM;341;R$/l;5.68;0.296;5.27;6.96;0.052
45354;45360;NORTE;RONDONIA;GASOLINA COMUM;56;R$/l;6.36;0.188;5.89;7.09;0.030
45354;45360;NORTE;RORAIMA;GASOLINA COMUM;17;R$/l;6.16;0.016;6.15;6.19;0.003
45354;45360;SUL;SANTA CATARINA;GASOLINA COMUM;190;R$/l;5.87;0.154;5.19;6.19;0.026
45354;45360;SUDESTE;SAO PAULO;GASOLINA COMUM;1253;R$/l;5.61;0.403;4.69;7.97;0.072
45354;45360;NORDESTE;SERGIPE;GASOLINA COMUM;40;R$/l;6.10;0.129;5.90;6.19;0.021
45354;45360;NORTE;TOCANTINS;GASOLINA COMUM;50;R$/l;5.89;0.135;5.47;6.19;0.023
45354;45360;NORTE;ACRE;GLP;42;R$/13kg;116.55;6.405;105.00;128.00;0.055
45354;45360;NORDESTE;ALAGOAS;GLP;59;R$/13kg;94.21;5.627;84.99;110.00;0.060
45354;45360;NORTE;AMAPA;GLP;30;R$/13kg;114.76;7.218;100.00;122.00;0.063
45354;45360;NORTE;AMAZONAS;GLP;113;R$/13kg;123.05;7.946;110.00;154.00;0.065
45354;45360;NORDESTE;BAHIA;GLP;235;R$/13kg;108.22;11.897;80.00;150.00;0.110
45354;45360;NORDESTE;CEARA;GLP;118;R$/13kg;100.98;7.006;79.90;122.00;0.069
45354;45360;CENTRO OESTE;DISTRITO FEDERAL;GLP;47;R$/13kg;95.99;5.932;82.99;119.99;0.062
45354;45360;SUDESTE;ESPIRITO SANTO;GLP;118;R$/13kg;95.97;8.641;79.99;115.00;0.090
45354;45360;CENTRO OESTE;GOIAS;GLP;229;R$/13kg;103.65;9.867;83.99;130.00;0.095
45354;45360;NORDESTE;MARANHAO;GLP;131;R$/13kg;103.79;8.694;85.00;125.00;0.084
45354;45360;CENTRO OESTE;MATO GROSSO;GLP;107;R$/13kg;117.09;16.756;85.00;145.00;0.143
45354;45360;CENTRO OESTE;MATO GROSSO DO SUL;GLP;78;R$/13kg;107.62;10.408;90.00;135.50;0.097
45354;45360;SUDESTE;MINAS GERAIS;GLP;547;R$/13kg;100.27;11.021;75.00;150.00;0.110
45354;45360;NORTE;PARA;GLP;159;R$/13kg;106.89;12.558;77.99;145.00;0.117
45354;45360;NORDESTE;PARAIBA;GLP;72;R$/13kg;102.64;7.958;79.99;110.00;0.078
45354;45360;SUL;PARANA;GLP;334;R$/13kg;98.45;10.900;75.00;125.00;0.111
45354;45360;NORDESTE;PERNAMBUCO;GLP;163;R$/13kg;88.82;10.511;75.00;120.00;0.118
45354;45360;NORDESTE;PIAUI;GLP;57;R$/13kg;96.71;6.998;88.00;115.00;0.072
45354;45360;SUDESTE;RIO DE JANEIRO;GLP;301;R$/13kg;93.67;10.310;74.99;125.00;0.110
45354;45360;NORDESTE;RIO GRANDE DO NORTE;GLP;44;R$/13kg;103.99;7.838;85.00;125.00;0.075
45354;45360;SUL;RIO GRANDE DO SUL;GLP;361;R$/13kg;105.99;9.815;84.99;135.00;0.093
45354;45360;NORTE;RONDONIA;GLP;71;R$/13kg;119.98;10.123;98.00;141.00;0.084
45354;45360;NORTE;RORAIMA;GLP;29;R$/13kg;129.10;6.405;118.00;140.00;0.050
45354;45360;SUL;SANTA CATARINA;GLP;145;R$/13kg;113.11;9.963;90.00;140.00;0.088
45354;45360;SUDESTE;SAO PAULO;GLP;1059;R$/13kg;101.68;10.189;69.99;140.00;0.100
45354;45360;NORDESTE;SERGIPE;GLP;41;R$/13kg;99.15;5.739;87.99;110.00;0.058
45354;45360;NORTE;TOCANTINS;GLP;61;R$/13kg;119.64;4.890;109.99;130.00;0.041
45354;45360;NORDESTE;ALAGOAS;GNV;8;R$/m³;4.71;0.252;4.69;5.41;0.053
45354;45360;NORTE;AMAZONAS;GNV;2;R$/m³;3.99;0.000;3.99;3.99;0.000
45354;45360;NORDESTE;BAHIA;GNV;10;R$/m³;4.13;0.469;3.95;5.59;0.113
45354;45360;NORDESTE;CEARA;GNV;14;R$/m³;4.99;0.443;4.89;6.28;0.089
45354;45360;SUDESTE;ESPIRITO SANTO;GNV;14;R$/m³;4.96;0.057;4.79;4.99;0.011
45354;45360;CENTRO OESTE;MATO GROSSO;GNV;1;R$/m³;3.54;0.000;3.54;3.54;0.000
45354;45360;CENTRO OESTE;MATO GROSSO DO SUL;GNV;1;R$/m³;4.19;0.000;4.19;4.19;0.000
45354;45360;SUDESTE;MINAS GERAIS;GNV;16;R$/m³;4.90;0.242;4.50;5.37;0.049
45354;45360;NORDESTE;PARAIBA;GNV;12;R$/m³;4.72;0.305;4.72;5.73;0.065
45354;45360;SUL;PARANA;GNV;10;R$/m³;4.90;0.258;4.69;5.39;0.053
45354;45360;NORDESTE;PERNAMBUCO;GNV;29;R$/m³;4.35;0.073;4.35;4.74;0.017
45354;45360;SUDESTE;RIO DE JANEIRO;GNV;133;R$/m³;4.58;0.527;3.97;6.29;0.115
45354;45360;NORDESTE;RIO GRANDE DO NORTE;GNV;7;R$/m³;5.19;0.053;5.09;5.19;0.010
45354;45360;SUL;RIO GRANDE DO SUL;GNV;22;R$/m³;4.60;0.422;4.24;5.88;0.092
45354;45360;SUL;SANTA CATARINA;GNV;26;R$/m³;4.87;0.274;4.29;5.69;0.056
45354;45360;SUDESTE;SAO PAULO;GNV;60;R$/m³;4.26;0.340;3.79;5.12;0.080
45354;45360;NORDESTE;SERGIPE;GNV;4;R$/m³;4.92;0.000;4.92;4.92;0.000
45354;45360;NORTE;ACRE;OLEO DIESEL;16;R$/l;7.26;0.379;6.99;7.95;0.052
45354;45360;NORDESTE;ALAGOAS;OLEO DIESEL;15;R$/l;6.17;0.395;5.89;6.88;0.064
45354;45360;NORTE;AMAPA;OLEO DIESEL;9;R$/l;6.61;0.338;6.21;7.32;0.051
45354;45360;NORTE;AMAZONAS;OLEO DIESEL;26;R$/l;6.32;0.590;6.28;7.80;0.093
45354;45360;NORDESTE;BAHIA;OLEO DIESEL;167;R$/l;5.89;0.335;5.19;6.90;0.057
45354;45360;NORDESTE;CEARA;OLEO DIESEL;22;R$/l;6.03;0.287;5.65;6.54;0.048
45354;45360;CENTRO OESTE;DISTRITO FEDERAL;OLEO DIESEL;20;R$/l;5.82;0.186;5.49;6.14;0.032
45354;45360;SUDESTE;ESPIRITO SANTO;OLEO DIESEL;45;R$/l;5.82;0.156;5.62;6.25;0.027
45354;45360;CENTRO OESTE;GOIAS;OLEO DIESEL;115;R$/l;5.80;0.252;5.29;6.94;0.043
45354;45360;NORDESTE;MARANHAO;OLEO DIESEL;63;R$/l;5.68;0.287;5.18;6.54;0.051
45354;45360;CENTRO OESTE;MATO GROSSO;OLEO DIESEL;40;R$/l;6.08;0.371;5.57;6.89;0.061
45354;45360;CENTRO OESTE;MATO GROSSO DO SUL;OLEO DIESEL;33;R$/l;5.91;0.508;5.49;7.39;0.086
45354;45360;SUDESTE;MINAS GERAIS;OLEO DIESEL;286;R$/l;5.75;0.230;5.29;6.49;0.040
45354;45360;NORTE;PARA;OLEO DIESEL;75;R$/l;6.16;0.375;5.75;7.46;0.061
45354;45360;NORDESTE;PARAIBA;OLEO DIESEL;30;R$/l;5.76;0.248;5.53;6.49;0.043
45354;45360;SUL;PARANA;OLEO DIESEL;151;R$/l;5.75;0.284;5.29;6.95;0.049
45354;45360;NORDESTE;PERNAMBUCO;OLEO DIESEL;12;R$/l;5.99;0.260;5.38;6.25;0.043
45354;45360;NORDESTE;PIAUI;OLEO DIESEL;30;R$/l;5.88;0.190;5.57;6.48;0.032
45354;45360;SUDESTE;RIO DE JANEIRO;OLEO DIESEL;142;R$/l;5.90;0.335;5.39;6.89;0.057
45354;45360;NORDESTE;RIO GRANDE DO NORTE;OLEO DIESEL;24;R$/l;5.79;0.517;5.35;6.89;0.089
45354;45360;SUL;RIO GRANDE DO SUL;OLEO DIESEL;217;R$/l;5.90;0.291;5.34;6.79;0.049
45354;45360;NORTE;RONDONIA;OLEO DIESEL;44;R$/l;6.47;0.413;5.99;7.82;0.064
45354;45360;NORTE;RORAIMA;OLEO DIESEL;12;R$/l;6.64;0.063;6.59;6.78;0.009
45354;45360;SUL;SANTA CATARINA;OLEO DIESEL;82;R$/l;5.93;0.226;5.49;6.39;0.038
45354;45360;SUDESTE;SAO PAULO;OLEO DIESEL;480;R$/l;5.88;0.358;5.19;7.62;0.061
45354;45360;NORDESTE;SERGIPE;OLEO DIESEL;18;R$/l;5.76;0.202;5.63;6.29;0.035
45354;45360;NORTE;TOCANTINS;OLEO DIESEL;33;R$/l;5.74;0.203;5.29;6.15;0.035
45354;45360;NORTE;ACRE;OLEO DIESEL S10;18;R$/l;7.31;0.390;7.09;7.97;0.053
45354;45360;NORDESTE;ALAGOAS;OLEO DIESEL S10;36;R$/l;5.81;0.487;5.29;6.85;0.084
45354;45360;NORTE;AMAPA;OLEO DIESEL S10;12;R$/l;6.51;0.501;5.99;7.89;0.077
45354;45360;NORTE;AMAZONAS;OLEO DIESEL S10;44;R$/l;6.32;0.306;6.28;7.09;0.048
45354;45360;NORDESTE;BAHIA;OLEO DIESEL S10;213;R$/l;5.98;0.330;5.29;6.99;0.055
45354;45360;NORDESTE;CEARA;OLEO DIESEL S10;127;R$/l;5.88;0.324;5.18;6.69;0.055
45354;45360;CENTRO OESTE;DISTRITO FEDERAL;OLEO DIESEL S10;24;R$/l;5.87;0.176;5.55;6.19;0.030
45354;45360;SUDESTE;ESPIRITO SANTO;OLEO DIESEL S10;72;R$/l;5.97;0.298;5.69;7.99;0.050
45354;45360;CENTRO OESTE;GOIAS;OLEO DIESEL S10;145;R$/l;5.91;0.277;5.25;7.10;0.047
45354;45360;NORDESTE;MARANHAO;OLEO DIESEL S10;113;R$/l;5.68;0.268;5.20;6.54;0.047
45354;45360;CENTRO OESTE;MATO GROSSO;OLEO DIESEL S10;47;R$/l;6.15;0.374;5.67;6.89;0.061
45354;45360;CENTRO OESTE;MATO GROSSO DO SUL;OLEO DIESEL S10;43;R$/l;6.01;0.410;5.59;7.48;0.068
45354;45360;SUDESTE;MINAS GERAIS;OLEO DIESEL S10;393;R$/l;5.85;0.237;5.39;6.69;0.040
45354;45360;NORTE;PARA;OLEO DIESEL S10;108;R$/l;6.12;0.511;5.37;7.79;0.083
45354;45360;NORDESTE;PARAIBA;OLEO DIESEL S10;51;R$/l;5.83;0.218;5.55;6.59;0.037
45354;45360;SUL;PARANA;OLEO DIESEL S10;219;R$/l;5.89;0.322;5.39;7.15;0.055
45354;45360;NORDESTE;PERNAMBUCO;OLEO DIESEL S10;155;R$/l;5.69;0.216;5.23;6.29;0.038
45354;45360;NORDESTE;PIAUI;OLEO DIESEL S10;41;R$/l;5.95;0.250;5.59;6.69;0.042
45354;45360;SUDESTE;RIO DE JANEIRO;OLEO DIESEL S10;231;R$/l;6.06;0.297;5.49;6.99;0.049
45354;45360;NORDESTE;RIO GRANDE DO NORTE;OLEO DIESEL S10;24;R$/l;6.02;0.407;5.45;6.99;0.068
45354;45360;SUL;RIO GRANDE DO SUL;OLEO DIESEL S10;268;R$/l;5.98;0.278;5.45;6.92;0.046
45354;45360;NORTE;RONDONIA;OLEO DIESEL S10;46;R$/l;6.55;0.425;5.89;7.84;0.065
45354;45360;NORTE;RORAIMA;OLEO DIESEL S10;17;R$/l;6.68;0.071;6.63;6.81;0.011
45354;45360;SUL;SANTA CATARINA;OLEO DIESEL S10;140;R$/l;5.99;0.238;5.54;6.89;0.040
45354;45360;SUDESTE;SAO PAULO;OLEO DIESEL S10;874;R$/l;5.99;0.407;4.99;8.49;0.068
45354;45360;NORDESTE;SERGIPE;OLEO DIESEL S10;22;R$/l;5.87;0.244;5.74;6.39;0.042
45354;45360;NORTE;TOCANTINS;OLEO DIESEL S10;40;R$/l;5.72;0.208;5.29;6.05;0.036